bias,bb,atr_max,ses,rr,trades,wr,net,pf,dd,tpd,losing_months,worst_month,max_consec_loss,n_months
ribbon_4MA_15M,"BB(30,2.0)",none,all,3.000,1742,32.606,-832.470,0.914,1244.040,3.383,10,-361.000,21,18
ribbon_4MA_15M,"BB(30,2.0)",none,hot8,1.500,898,41.203,-238.775,0.946,388.265,1.744,8,-161.045,11,18
ribbon_4MA_15M,"BB(30,2.0)",none,hot8,2.000,868,34.677,-460.900,0.901,579.400,1.686,10,-173.080,12,18
ribbon_4MA_15M,"BB(30,2.0)",none,hot8,3.000,844,29.028,-876.290,0.818,1071.960,1.639,11,-245.150,15,18
ribbon_4MA_15M,"BB(30,2.0)",none,L+NY,1.500,896,44.196,201.960,1.047,266.610,1.742,7,-56.260,12,18
ribbon_4MA_15M,"BB(30,2.0)",none,L+NY,2.000,854,37.705,-13.970,0.997,341.760,1.661,9,-110.810,17,18
ribbon_4MA_15M,"BB(30,2.0)",none,L+NY,3.000,823,31.227,-751.300,0.840,942.250,1.600,11,-233.980,17,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,all,1.500,1441,41.638,-176.345,0.973,590.500,2.799,9,-278.160,12,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,all,2.000,1397,36.006,-419.910,0.940,720.540,2.713,10,-333.740,18,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,all,3.000,1360,30.882,-648.850,0.910,832.800,2.641,10,-285.950,18,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,hot8,1.500,654,39.450,-160.675,0.946,345.340,1.270,13,-114.315,10,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,hot8,2.000,638,31.975,-486.750,0.850,558.920,1.239,14,-103.040,11,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,hot8,3.000,628,26.274,-782.870,0.772,878.300,1.220,14,-143.050,16,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,L+NY,1.500,652,42.025,50.350,1.017,254.880,1.271,8,-126.565,12,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,L+NY,2.000,627,34.609,-250.630,0.923,372.260,1.222,9,-156.550,15,18
ribbon_4MA_15M,"BB(30,2.0)",1.2,L+NY,3.000,605,28.099,-784.640,0.771,898.580,1.179,13,-179.990,18,18
ribbon_4MA_15M,"BB(30,2.0)",1.5,all,1.500,1706,42.790,123.945,1.016,557.830,3.313,7,-224.780,17,18
ribbon_4MA_15M,"BB(30,2.0)",1.5,all,2.000,1638,37.057,-148.190,0.982,662.890,3.181,10,-273.080,20,18
ribbon_4MA_15M,"BB(30,2.0)",1.5,all,3.000,1594,32.183,-486.130,0.943,960.140,3.096,10,-270.580,24,18
ribbon_4MA_15M,"BB(30,2.0)",1.5,hot8,1.500,801,41.323,-7.230,0.998,230.360,1.556,12,-99.110,11,18
ribbon_4MA_15M,"BB(30,2.0)",1.5,hot8,2.000,772,34.067,-316.200,0.921,398.560,1.500,14,-102.800,12,18
