Etc/UTC,Open,High,Low,Close,Volume
2026-05-29T06:30:00+00:00,4516.435,4518.625,4516.295,4518.335,26310
2026-05-29T06:31:00+00:00,4518.335,4520.525,4518.335,4519.685,26550
2026-05-29T06:32:00+00:00,4519.645,4520.555,4518.635,4518.695,25500
2026-05-29T06:33:00+00:00,4518.795,4519.125,4517.965,4518.275,24300
2026-05-29T06:34:00+00:00,4518.295,4519.095,4517.395,4517.755,18300
2026-05-29T06:35:00+00:00,4517.725,4518.835,4515.775,4515.805,27060
2026-05-29T06:36:00+00:00,4515.915,4516.445,4515.485,4516.135,27660
2026-05-29T06:37:00+00:00,4516.165,4516.275,4514.395,4515.055,25500
2026-05-29T06:38:00+00:00,4515.125,4516.375,4513.645,4515.715,26490
2026-05-29T06:39:00+00:00,4515.855,4516.255,4514.195,4514.725,18780
2026-05-29T06:40:00+00:00,4514.755,4515.065,4512.395,4512.525,22380
2026-05-29T06:41:00+00:00,4512.475,4512.495,4511.295,4511.505,24030
2026-05-29T06:42:00+00:00,4511.885,4514.415,4511.045,4514.385,29130
2026-05-29T06:43:00+00:00,4514.355,4514.665,4513.195,4514.155,16740
2026-05-29T06:44:00+00:00,4514.115,4516.785,4513.815,4516.475,21810
2026-05-29T06:45:00+00:00,4516.445,4516.855,4514.935,4515.995,19350
2026-05-29T06:46:00+00:00,4515.945,4518.905,4515.535,4518.135,24240
2026-05-29T06:47:00+00:00,4518.185,4519.745,4517.785,4517.785,16410
2026-05-29T06:48:00+00:00,4517.795,4518.735,4517.795,4518.355,14250
2026-05-29T06:49:00+00:00,4518.335,4518.935,4517.465,4517.465,12780
2026-05-29T06:50:00+00:00,4517.725,4518.495,4516.625,4517.695,22230
2026-05-29T06:51:00+00:00,4517.915,4521.065,4517.915,4520.405,24840
2026-05-29T06:52:00+00:00,4520.205,4520.845,4519.735,4520.845,14940
2026-05-29T06:53:00+00:00,4520.965,4521.715,4520.705,4521.175,24090
2026-05-29T06:54:00+00:00,4521.265,4523.025,4520.735,4521.775,21900
2026-05-29T06:55:00+00:00,4521.685,4523.325,4521.465,4522.595,25890
2026-05-29T06:56:00+00:00,4522.615,4523.325,4522.295,4522.665,18420
2026-05-29T06:57:00+00:00,4522.635,4523.845,4522.345,4522.845,27300
2026-05-29T06:58:00+00:00,4522.875,4523.215,4522.285,4522.505,22620
2026-05-29T06:59:00+00:00,4522.475,4524.045,4522.475,4523.515,27600
2026-05-29T07:00:00+00:00,4523.465,4523.735,4521.635,4522.205,30150
2026-05-29T07:01:00+00:00,4521.975,4522.935,4520.925,4521.885,26700
2026-05-29T07:02:00+00:00,4521.885,4522.155,4520.155,4520.685,28200
2026-05-29T07:03:00+00:00,4520.715,4521.115,4519.555,4519.765,25080
2026-05-29T07:04:00+00:00,4519.725,4519.875,4518.695,4518.865,22320
2026-05-29T07:05:00+00:00,4518.845,4519.905,4518.635,4519.585,21060
2026-05-29T07:06:00+00:00,4519.335,4519.735,4517.785,4518.065,22740
